anho,estado,mes,length_bin,n
1982,Colima,11,NA,3
1983,Colima,1,NA,2
1983,Colima,3,NA,1
1983,Colima,4,NA,47
1983,Colima,5,NA,157
1983,Colima,6,NA,1
1983,Colima,9,NA,7
1983,Colima,11,NA,5
1984,Colima,1,NA,6
1984,Colima,2,NA,59
1984,Colima,3,NA,83
1984,Colima,5,NA,14
1984,Colima,6,NA,2
1984,Colima,7,NA,86
1984,Colima,8,NA,105
1984,Colima,9,NA,1
1984,Colima,10,NA,1
1984,Colima,12,NA,18
1985,Colima,3,NA,22
1985,Colima,4,NA,1
1985,Colima,6,NA,1
1985,Colima,11,NA,26
1985,Colima,12,NA,9
1986,Colima,1,NA,84
1986,Colima,2,NA,41
1986,Colima,3,NA,36
1986,Colima,4,NA,97
1986,Colima,5,NA,28
1986,Colima,6,NA,41
1986,Colima,7,NA,62
1986,Colima,8,NA,49
1986,Colima,9,NA,79
1986,Colima,10,NA,91
1987,Colima,1,NA,65
1988,Colima,1,NA,97
1989,Colima,7,22.5,4
1989,Colima,7,27.5,6
1989,Colima,7,32.5,6
1989,Colima,7,37.5,10
1989,Colima,7,42.5,3
1989,Colima,8,17.5,33
1989,Colima,8,22.5,138
1989,Colima,8,27.5,6
1989,Colima,8,32.5,1
1989,Colima,8,NA,1
1989,Colima,9,17.5,23
1989,Colima,9,22.5,118
1989,Colima,9,27.5,8
1989,Colima,10,NA,22
1989,Colima,11,32.5,5
1989,Colima,11,47.5,1
1989,Colima,12,NA,68
1990,Colima,1,37.5,1
1990,Colima,1,42.5,1
1990,Colima,2,17.5,10
1990,Colima,2,22.5,32
1990,Colima,2,27.5,9
1990,Colima,2,32.5,21
1990,Colima,2,37.5,1
1990,Colima,3,12.5,1
1990,Colima,3,17.5,14
1990,Colima,3,22.5,18
1990,Colima,3,27.5,19
1990,Colima,3,32.5,41
1990,Colima,3,37.5,2
1990,Colima,3,42.5,1
1990,Colima,3,NA,1
1990,Colima,4,17.5,7
1990,Colima,4,22.5,6
1990,Colima,4,27.5,3
1990,Colima,4,32.5,4
1990,Colima,4,37.5,1
1990,Colima,5,12.5,2
1990,Colima,5,17.5,33
1990,Colima,5,22.5,17
1990,Colima,5,32.5,2
1990,Colima,5,37.5,11
1990,Colima,7,17.5,14
1990,Colima,7,22.5,7
1990,Colima,8,17.5,4
1990,Colima,8,22.5,1
1990,Colima,8,27.5,1
1990,Colima,8,32.5,4
1990,Colima,8,37.5,1
1990,Colima,9,17.5,15
1990,Colima,9,22.5,25
1990,Colima,9,27.5,12
1990,Colima,9,32.5,3
1990,Colima,10,12.5,12
1990,Colima,10,17.5,74
1990,Colima,10,22.5,43
1990,Colima,10,27.5,20
1990,Colima,10,32.5,3
1990,Colima,10,37.5,1
1990,Colima,10,42.5,1
1990,Colima,11,17.5,18
1990,Colima,11,22.5,24
1990,Colima,11,27.5,1
1990,Colima,12,17.5,1
1990,Colima,12,22.5,5
1990,Colima,12,27.5,1
1991,Colima,1,12.5,9
1991,Colima,1,17.5,40
1991,Colima,1,22.5,45
1991,Colima,1,27.5,23
1991,Colima,1,32.5,4
1991,Colima,1,67.5,1
1991,Colima,2,12.5,6
1991,Colima,2,17.5,212
1991,Colima,2,22.5,78
1991,Colima,2,27.5,57
1991,Colima,2,32.5,55
1991,Colima,2,37.5,16
1991,Colima,2,42.5,2
1991,Colima,2,NA,1
1991,Colima,3,12.5,2
1991,Colima,3,17.5,270
1991,Colima,3,22.5,174
1991,Colima,3,27.5,95
1991,Colima,3,32.5,66
1991,Colima,3,37.5,21
1991,Colima,3,52.5,2
1991,Colima,3,NA,2
1991,Colima,4,12.5,5
1991,Colima,4,17.5,188
1991,Colima,4,22.5,27
1991,Colima,4,27.5,3
1991,Colima,4,32.5,3
1991,Colima,4,37.5,1
1996,Colima,7,17.5,42
1996,Colima,7,22.5,364
1996,Colima,7,27.5,55
1996,Colima,7,37.5,1
1996,Colima,8,17.5,43
1996,Colima,8,22.5,491
1996,Colima,8,27.5,84
1996,Colima,9,17.5,2
1996,Colima,9,22.5,208
1996,Colima,9,27.5,395
